-10 2 1 2 5.554099047179356e-7 3.170506653079557e-7
-10 3 1 1 1.9792136544032133e-7 3.394882852316617e-7
-10 3 1 2 2.318432574040373e-7 8.185784953591437e-8
-10 3 2 2 -8.0826750964788e-7 7.104575103100951e-7
-10 4 1 1 -5.687328439471958e-8 5.534154183054475e-7
-10 4 1 2 -3.9665410840782447e-7 -3.5048426817073307e-7
-10 4 2 2 -3.325965931084959e-7 1.0761375361557926e-6
-10 5 1 1 -1.2987297682099662e-7 8.472688679174163e-7
-10 5 1 2 -5.436628271149828e-7 -6.079469220236004e-7
-10 5 2 2 1.3680807211012297e-8 1.0172679383242998e-6
-10 6 1 1 -1.4956789980005783e-7 8.657548083362191e-7
-10 6 1 2 -2.8778547086856414e-7 -3.293985615390967e-7
-10 6 2 2 3.4112629237700323e-7 7.780701747864856e-7
-10 7 1 1 -2.782668392374549e-7 3.1385709597528266e-7
-10 7 1 2 3.0564757693621253e-7 -1.4629761743315948e-7
-10 7 2 2 7.74006043521393e-7 7.628766387705921e-7
-10 8 1 2 5.320345616594272e-7 -4.307687792865942e-7
-9 0 1 2 7.426867038159043e-7 5.17563439439124e-7
-9 1 1 1 2.2436927681031556e-7 2.04294548268209e-7
-9 1 1 2 1.2241224198423215e-6 2.866228607264676e-7
-9 1 2 2 -5.48582023391943e-7 3.3513491080617497e-7
-9 2 1 1 4.91100036784568e-7 6.925526848070301e-7
-9 2 1 2 1.0909718055702646e-6 2.0559462771232494e-7
-9 2 2 1 3.4956806889575217e-7 4.251217687016686e-7
-9 2 2 2 -9.214610563103515e-7 8.569548986773856e-7
-9 3 1 1 4.0669264312810987e-7 1.0712456125037136e-6
-9 3 1 2 3.4276527929110655e-7 -8.26424075392388e-9
-9 3 2 1 1.4429123428320076e-7 2.3804452073058094e-7
-9 3 2 2 -8.207410944352545e-7 1.6318129838055397e-6
-9 4 1 1 2.7616744005318807e-8 1.3706026848275358e-6
-9 4 1 2 -7.035333844424311e-7 -6.421194009031438e-7
-9 4 2 1 -2.0413322127900077e-7 -1.8703232824098823e-7
-9 4 2 2 -3.444801292582249e-7 2.118277243088233e-6
-9 5 1 1 -2.480518590264377e-7 1.7493313783756934e-6
-9 5 1 2 -6.535796981240742e-7 -5.819560155560914e-7
-9 5 2 1 -2.1723630842642143e-7 -3.851271887278815e-7
-9 5 2 2 9.80138819596209e-8 1.7387002347358795e-6
-9 6 1 1 -6.019260079871211e-7 1.2836385813282144e-6
-9 6 1 2 3.393098965841074e-7 -3.5644478839260796e-8
-9 6 2 1 2.474690896344764e-7 -2.1028306605042573e-7
-9 6 2 2 6.567529635396276e-7 1.415520470506996e-6
-9 7 1 1 -6.241605087374227e-7 5.443611567707753e-7
-9 7 1 2 1.074049551779529e-6 -2.2991557719701143e-7
